trial,miss_distance_m,final_altitude_m,flight_time_s,terrain_override_fired,control_saturated,rms_q_error,rms_theta_error,LAT_INIT,LON_INIT,LAT_TARGET,LON_TARGET,target_downrange_m
100,570.87949405912,774.2453304091,78.6,1,0,0.00479861169848361,0.0209456269053867,34.2205149133012,-119.456643314485,34.6597158791367,-118.77082042566,79627.3307919759
101,545.289301343786,786.93095483164,78.7,1,0,0.0045087081888075,0.0201998428101379,34.2218955487025,-119.462313530101,34.6457082750795,-118.762784664377,79602.8434304901
102,628.341947550228,787.646515304522,75.8,1,0,0.00459105939254439,0.0324949858262576,34.2506979409867,-119.437171518242,34.665016567059,-118.765192454919,76930.1004818995
103,563.288195578649,785.819211249217,77.7,1,0,0.00469744184124439,0.0463233567688583,34.2296847932445,-119.452111304385,34.6620470047424,-118.772475366272,78709.8352638145
104,743.144731796501,774.649298980818,78.9,1,0,0.00457776075190766,0.0192172454982256,34.242945010626,-119.45597766858,34.6684836694388,-118.748458288613,80293.7872817073
105,532.166500197526,787.751437724797,77.3,1,0,0.00436847866072896,0.0186462343544213,34.2167308676273,-119.445098127746,34.6453977632319,-118.769930812893,78143.147170706
106,661.665281375111,773.419453212111,79.8,1,0,0.00454308782649763,0.0493347319404278,34.2179813085881,-119.45894422828,34.6649802773685,-118.761568496491,80995.0891117229
107,532.077079262237,790.198859512258,77.1,1,0,0.00493087198921724,0.0128508312767677,34.2346794795653,-119.449656048465,34.671677054721,-118.783562089115,78045.9903360761
108,528.290019139562,790.585962360039,77.4,0,0,0.00459970586343914,0.0178891049279433,34.2193102169792,-119.460957526038,34.6277141304783,-118.766687068397,78213.9149983306
109,682.909609326891,783.568722657518,79.1,1,0,0.0046006804659337,0.00766845577354211,34.23825438974,-119.465768100521,34.6650781777109,-118.758195233647,80384.5765074223
110,533.931003310794,789.592907549722,77.3,1,0,0.0046373956025417,0.016060533622139,34.221698269327,-119.454418974737,34.6511592823642,-118.782296886906,77972.9378069799
111,534.213691833934,790.346539075386,76.9,1,0,0.00418722411309915,0.007133747199564,34.243975865985,-119.459495276774,34.6567785943249,-118.773987818309,77831.9869013904
112,524.075212405657,760.418480078088,76.5,1,0,0.00452180382432028,0.015957406871986,34.2321447562805,-119.437889005895,34.6583701915718,-118.771010609622,77367.3427757624
113,514.534642358178,787.855882068218,76.3,0,0,0.00515660519207323,0.0257440702541647,34.2349801711292,-119.450985905887,34.6336810999923,-118.765569846254,76920.6870274949
114,573.109586813286,792.52913735005,79,1,0,0.00487071866012927,0.0135516607017302,34.2349681684121,-119.475108907934,34.661157009417,-118.77164272779,80041.3976714036
115,504.289674252558,765.585210776784,75,1,0,0.00476091014806339,0.0153185487183845,34.226178252315,-119.427393016463,34.6455003581321,-118.778445374258,75603.8714792254
116,564.791363793919,784.736019645418,77.5,1,0,0.00420771917261214,0.0276271029188075,34.2330160819339,-119.451639120015,34.6733136907291,-118.781372806476,78573.8385969293
117,564.304975549948,789.470856473905,77.8,1,0,0.00486196865742173,0.0212679121960308,34.230468351571,-119.452895729667,34.6713394198017,-118.77914148304,78865.1563625611
118,574.734379525233,778.343774581121,78,1,0,0.00439462655944596,0.0143077193805466,34.2333154997389,-119.457287604643,34.6666173092154,-118.773540582563,79069.8280232646
